tensor(13.5360, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7174, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.6400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.9003, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0225, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1886, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0274, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6368, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.9075, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.7023, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4277, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2052, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.2965, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6840, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.5770, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2266, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3166, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6291, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6581, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4646, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.7746, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.5412, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8474, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1746, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3367, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9887, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0205, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9896, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.7300, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0963, device='cuda:0', grad_fn=<MulBackward0>)
tensor(17.7611, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.4540, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2378, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0262, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4985, device='cuda:0', grad_fn=<MulBackward0>)
tensor(18.4081, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.6953, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.0570, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9632, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.7843, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6992, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.1466, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2909, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.7126, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.0893, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.2006, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3577, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0681, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7255, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3427, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.4426, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7652, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.0593, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0739, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2732, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2039, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4045, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2105, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.1268, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.3698, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6373, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.3515, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8281, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2748, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8677, device='cuda:0', grad_fn=<MulBackward0>)
